time,1,2,3,4,5,6,7
0,16,127,45,253,61,52,182
1,222,187,65,113,0,52,157
2,133,178,48,94,155,142,199
3,37,155,42,121,66,36,127
4,225,127,247,96,34,253,248
5,71,125,3,234,187,134,38
6,202,177,95,184,55,52,129
7,177,73,142,209,47,126,27
8,91,67,53,109,226,226,197
9,18,66,104,224,157,208,23
10,5,165,143,190,33,26,156
11,142,50,159,238,157,103,178
12,113,140,225,156,206,229,70
13,237,17,171,65,21,230,145
14,170,131,251,146,174,208,69
15,17,213,75,255,18,243,94
16,109,209,120,147,252,167,196
17,169,160,149,210,192,241,52
18,90,97,225,92,211,3,121
19,115,216,243,160,236,220,2
20,57,167,155,100,203,75,20
21,102,62,239,128,147,119,155
22,177,132,200,72,17,39,228
23,165,58,40,245,238,14,249
24,12,110,190,9,209,209,140
25,223,4,226,43,91,88,80
26,4,242,142,43,157,207,148
27,141,249,164,41,179,120,114
28,26,120,253,57,114,63,240
29,128,170,50,119,107,147,204
30,86,186,46,24,205,24,28
31,72,35,185,177,185,221,76
32,164,33,131,177,214,2,72
33,196,56,217,174,250,177,143
34,211,133,77,154,11,110,72
35,217,59,95,184,41,145,88
36,58,109,5,213,216,182,197
37,42,34,144,164,159,161,49
38,246,207,250,88,95,49,115
39,25,195,188,180,242,46,12
40,240,29,234,112,56,237,2
41,246,202,118,211,121,238,179
42,69,12,143,160,55,123,175
43,156,237,220,14,146,159,36
44,7,164,6,61,57,194,18
45,165,58,36,194,174,8,241
46,20,135,2,157,181,237,162
47,230,22,127,248,200,186,94
48,51,91,5,182,128,158,106
49,240,187,197,228,90,170,65
50,48,24,52,24,183,13,105
51,230,122,197,149,170,212,194
52,6,1,180,72,212,167,58
53,119,90,11,16,70,1,131
54,49,236,112,4,64,186,242
55,105,65,216,102,179,254,49
56,65,239,216,133,203,95,112
57,64,70,151,156,246,76,62
58,161,227,252,104,164,221,162
59,18,152,196,225,72,54,116
60,40,13,115,18,5,38,187
61,216,82,66,46,221,159,82
62,245,116,41,168,217,73,172
63,118,41,68,125,221,34,174
64,136,48,86,2,137,254,170
65,141,201,243,190,77,85,176
66,110,200,254,110,23,64,167
67,209,246,84,129,253,171,182
68,166,65,109,220,97,102,156
69,244,196,125,17,39,230,200
70,106,20,191,211,80,203,124
71,28,67,30,193,180,199,252
72,8,100,24,111,37,140,31
73,51,106,95,146,50,84,139
74,123,236,228,201,72,78,6
75,214,192,219,126,151,33,218
76,246,201,142,193,245,99,225
77,236,66,153,105,195,152,130
78,52,150,253,141,152,201,255
79,204,9,245,254,128,180,183
80,206,255,32,135,190,66,167
81,132,170,60,76,114,248,42
82,213,99,243,202,93,176,0
83,208,14,224,117,7,163,224
84,116,81,8,133,134,190,207
85,141,111,29,2,160,45,121
86,99,219,73,206,224,16,28
87,90,160,182,22,221,58,222
88,121,47,59,213,244,220,81
89,172,39,180,21,69,175,101
90,40,198,40,63,193,21,86
91,58,95,51,154,173,191,40
92,220,68,83,28,144,17,165
93,65,153,6,64,200,47,180
94,136,200,84,44,245,64,104
95,115,24,57,126,192,166,208
96,212,255,165,169,120,43,111
97,11,184,226,41,135,150,18
98,67,203,116,85,108,230,246
99,28,249,176,110,35,141,196
100,226,67,144,117,37,21,139
101,57,31,15,58,237,204,63
102,202,193,194,181,108,224,196
103,63,46,50,11,62,39,166
104,207,202,149,230,243,161,107
105,232,205,159,121,82,234,184
106,87,130,165,234,119,146,89
107,162,50,57,220,155,15,184
108,140,102,100,54,39,3,154
109,102,157,31,102,159,225,204
110,19,200,76,90,29,207,117
111,252,44,140,110,183,0,8
112,244,218,222,255,169,188,10
113,61,160,48,205,145,255,168
114,34,29,88,131,101,39,199
115,156,129,185,227,224,169,17
116,53,133,229,151,60,77,72
117,29,193,5,20,45,40,30
118,160,9,80,155,205,23,37
119,107,235,254,138,113,17,1
120,146,239,155,198,135,162,118
121,127,228,209,213,18,6,65
122,132,153,226,79,0,87,193
123,33,231,103,217,30,126,162
124,177,253,183,182,64,47,117
125,159,110,190,88,173,100,187
126,163,22,75,126,202,220,81
127,55,234,206,49,243,253,170
128,193,179,17,229,75,86,176
129,143,74,49,214,101,62,167
130,198,147,109,34,218,174,182
131,95,109,229,139,119,97,156
132,15,127,98,129,92,238,200
133,117,98,255,76,242,188,124
134,177,193,156,224,225,222,252
135,162,21,113,47,103,97,31
136,225,135,154,241,238,145,139
137,154,21,79,6,133,204,5
138,96,204,39,4,11,155,218
139,217,244,207,152,48,27,224
140,208,208,140,4,37,238,129
141,16,51,244,87,55,203,1
142,1,80,243,24,107,124,186
143,114,79,166,50,163,47,161
144,246,53,223,118,18,149,47
145,126,20,207,161,142,131,243
146,124,186,86,227,60,79,212
147,104,109,18,65,228,29,241
148,86,163,98,85,51,132,138
149,22,69,36,221,152,226,231
150,220,172,25,242,236,3,150
151,20,132,164,25,38,190,239
152,22,224,8,241,151,204,238
153,160,216,15,49,162,16,169
154,10,122,229,116,198,144,98
155,126,226,152,105,4,78,95
156,86,218,126,87,206,7,52
157,158,177,116,11,183,8,138
158,233,76,1,178,179,150,187
159,25,165,25,255,6,65,81
160,203,147,147,9,189,244,169
161,6,42,235,111,245,23,178
162,67,40,193,136,134,62,164
163,46,63,96,215,52,190,187
164,22,250,45,83,184,170,147
165,61,255,240,228,51,106,215
166,167,129,110,19,210,49,99
167,253,8,1,81,172,122,37
168,65,186,247,198,158,254,210
169,41,202,215,96,133,157,244
170,248,169,236,99,143,2,31
171,129,68,156,43,164,99,130
172,35,252,178,134,136,105,0
173,236,115,153,94,99,146,184
174,46,65,121,147,113,94,165
175,248,67,169,46,244,105,44
176,218,43,139,228,208,145,252
177,215,115,242,96,245,208,220
178,162,36,27,100,224,29,218
179,91,253,39,65,87,200,126
180,223,135,20,192,46,66,11
181,44,13,195,103,183,129,199
182,87,246,45,83,204,142,132
183,68,174,0,116,84,107,68
184,114,207,232,130,8,130,183
185,11,43,136,165,163,50,152
186,178,76,217,79,251,234,143
187,247,157,50,218,190,115,193
188,183,51,21,38,248,246,62
189,235,63,143,187,227,128,138
190,233,7,20,163,114,127,230
191,198,203,213,155,6,49,72
192,181,214,125,25,100,32,79
193,132,19,110,46,107,143,129
